language,trait,value
cpp98,keyword,continue
cpp98,keyword,default
cpp98,keyword,delete
cpp98,keyword,do
cpp98,keyword,double
cpp98,keyword,dynamic_cast
cpp98,keyword,else
cpp98,keyword,enum
cpp98,keyword,explicit
cpp98,keyword,export
cpp98,keyword,extern
cpp98,keyword,false
cpp98,keyword,float
cpp98,keyword,for
cpp98,keyword,friend
cpp98,keyword,goto
cpp98,keyword,if
cpp98,keyword,inline
cpp98,keyword,int
cpp98,keyword,long
cpp98,keyword,mutable
cpp98,keyword,namespace
cpp98,keyword,new
cpp98,keyword,not
cpp98,keyword,not_eq
cpp98,keyword,operator
cpp98,keyword,or
cpp98,keyword,or_eq
cpp98,keyword,private
cpp98,keyword,protected
cpp98,keyword,public
cpp98,keyword,register
cpp98,keyword,reinterpret_cast
cpp98,keyword,return
cpp98,keyword,short
cpp98,keyword,signed
cpp98,keyword,sizeof
cpp98,keyword,static
cpp98,keyword,static_cast
cpp98,keyword,struct
cpp98,keyword,switch
cpp98,keyword,template
cpp98,keyword,this
cpp98,keyword,throw
cpp98,keyword,true
cpp98,keyword,try
cpp98,keyword,typedef
cpp98,keyword,typeid
cpp98,keyword,typename
cpp98,keyword,union
cpp98,keyword,unsigned
cpp98,keyword,using
cpp98,keyword,virtual
cpp98,keyword,void
cpp98,keyword,volatile
cpp98,keyword,wchar_t
cpp98,keyword,while
cpp98,keyword,xor
cpp98,keyword,xor_eq
cpp98,comment,to-end-of-line
cpp98,comment,start
cpp98,comment,end
cpp98,white-space,significant
cpp98,white-space,free-form
cpp98,white-space,line-continuation
cpp98,white-space,backslash
cpp98,identifier,case-significant
cpp98,identifier,characters-significant
cpp98,literal,integer-decimal
cpp98,literal,integer-hexadecimal
cpp98,literal,integer-octal
cpp98,literal,integer-character
cpp98,literal,floating-point
cpp98,literal,string
cpp98,control-flow,{
cpp98,control-flow,}
cpp98,control-flow,switch
cpp98,control-flow,goto
cpp98,control-flow,break
cpp98,control-flow,continue
cpp98,control-flow,if
cpp98,control-flow,else
cpp98,control-flow,for
cpp98,control-flow,while
cpp98,control-flow,do
cpp98,expression,infix
cpp98,expression,left-associative
cpp98,ternary-operator,?:
cpp98,ternary-precedence,2
cpp98,binary-operator,[]
cpp98,binary-precedence,16
cpp98,binary-operator,.
cpp98,binary-precedence,16
cpp98,binary-operator,->
cpp98,binary-precedence,16
cpp98,binary-operator,typeid
cpp98,binary-precedence,16
cpp98,binary-operator,const_cast
cpp98,binary-precedence,16
cpp98,binary-operator,dynamic_cast
cpp98,binary-precedence,16
cpp98,binary-operator,reinterpret_cast
cpp98,binary-precedence,16
cpp98,binary-operator,static_cast
cpp98,binary-precedence,16
cpp98,binary-operator,.*
cpp98,binary-precedence,14
cpp98,binary-operator,->*
cpp98,binary-precedence,14
cpp98,binary-operator,*
cpp98,binary-precedence,13
cpp98,binary-operator,/
cpp98,binary-precedence,13
cpp98,binary-operator,%
cpp98,binary-precedence,13
cpp98,binary-operator,+
cpp98,binary-precedence,12
cpp98,binary-operator,-
cpp98,binary-precedence,12
cpp98,binary-operator,<<
cpp98,binary-precedence,11
cpp98,binary-operator,>>
cpp98,binary-precedence,11
cpp98,binary-operator,<=>
cpp98,binary-precedence,10
cpp98,binary-operator,<
cpp98,binary-precedence,9
cpp98,binary-operator,<=
cpp98,binary-precedence,9
cpp98,binary-operator,>
cpp98,binary-precedence,9
cpp98,binary-operator,>=
cpp98,binary-precedence,9
cpp98,binary-operator,==
cpp98,binary-precedence,8
cpp98,binary-operator,!=
cpp98,binary-precedence,8
cpp98,binary-operator,&
cpp98,binary-precedence,7
cpp98,binary-operator,^
cpp98,binary-precedence,6
cpp98,binary-operator,|
cpp98,binary-precedence,5
cpp98,binary-operator,&&
cpp98,binary-precedence,4
cpp98,binary-operator,||
cpp98,binary-precedence,3
cpp98,binary-operator,=
cpp98,binary-precedence,2
cpp98,binary-operator,+=
cpp98,binary-precedence,2
cpp98,binary-operator,-=
cpp98,binary-precedence,2
cpp98,binary-operator,*=
cpp98,binary-precedence,2
cpp98,binary-operator,/=
cpp98,binary-precedence,2
cpp98,binary-operator,%=
cpp98,binary-precedence,2
cpp98,binary-operator,<<=
cpp98,binary-precedence,2
cpp98,binary-operator,>>=
cpp98,binary-precedence,2
cpp98,binary-operator,&=
cpp98,binary-precedence,2
cpp98,binary-operator,^=
cpp98,binary-precedence,2
cpp98,binary-operator,|=
cpp98,binary-precedence,2
cpp98,binary-operator,throw
cpp98,binary-precedence,2
cpp98,binary-operator,","
cpp98,binary-precedence,1
cpp98,unary-operator,++
cpp98,unary-precedence,15
cpp98,unary-operator,--
cpp98,unary-precedence,15
cpp98,unary-operator,+
cpp98,unary-precedence,15
cpp98,unary-operator,-
cpp98,unary-precedence,15
cpp98,unary-operator,!
cpp98,unary-precedence,15
cpp98,unary-operator,~
cpp98,unary-precedence,15
cpp98,unary-operator,*
cpp98,unary-precedence,15
cpp98,unary-operator,&
cpp98,unary-precedence,15
cpp98,unary-operator,sizeof
cpp98,unary-precedence,15
cpp98,unary-operator,_Alignof
cpp98,unary-precedence,15
cpp98,unary-operator,new
cpp98,unary-precedence,15
cpp98,unary-operator,delete
cpp98,unary-precedence,15
cpp98,declaration,struct
cpp98,declaration,union
cpp98,declaration,int
cpp98,declaration,float
cpp98,declaration,enum
cpp98,declaration,*
cpp98,statement,semicolon
cpp98,statement,file-import
cpp98,statement,#include
cpp98,function-definition,overloaded
cpp98,function-definition,arguments-type-checked
cpp98,function-definition,variadic-arguments
cpp98,function-definition,pass-by-value
cpp98,function-definition,pass-by-reference
csharp,wikipedia,general-purpose
csharp,wikipedia,multi-paradigm
csharp,keyword,abstract
csharp,keyword,as
csharp,keyword,base
csharp,keyword,bool
csharp,keyword,break
csharp,keyword,byte
csharp,keyword,case
csharp,keyword,catch
csharp,keyword,char
csharp,keyword,checked
csharp,keyword,class
csharp,keyword,const
csharp,keyword,continue
csharp,keyword,decimal
csharp,keyword,default
csharp,keyword,delegate
csharp,keyword,do
csharp,keyword,double
csharp,keyword,else
csharp,keyword,enum
csharp,keyword,event
csharp,keyword,explicit
csharp,keyword,extern
csharp,keyword,false
csharp,keyword,finally
csharp,keyword,fixed
csharp,keyword,float
csharp,keyword,for
csharp,keyword,foreach
csharp,keyword,goto
csharp,keyword,if
csharp,keyword,implicit
csharp,keyword,in
csharp,keyword,int
csharp,keyword,interface
csharp,keyword,internal
csharp,keyword,is
csharp,keyword,lock
csharp,keyword,long
csharp,keyword,namespace
csharp,keyword,new
csharp,keyword,null
csharp,keyword,object
csharp,keyword,operator
csharp,keyword,out
csharp,keyword,override
csharp,keyword,params
csharp,keyword,private
csharp,keyword,protected
csharp,keyword,public
csharp,keyword,readonly
csharp,keyword,ref
csharp,keyword,return
csharp,keyword,sbyte
csharp,keyword,sealed
csharp,keyword,short
csharp,keyword,sizeof
csharp,keyword,stackalloc
csharp,keyword,static
csharp,keyword,string
csharp,keyword,struct
csharp,keyword,switch
csharp,keyword,this
csharp,keyword,throw
csharp,keyword,true
csharp,keyword,try
csharp,keyword,typeof
csharp,keyword,unit
csharp,keyword,ulong
csharp,keyword,unchecked
csharp,keyword,unsafe
csharp,keyword,ushort
csharp,keyword,using
csharp,keyword,virtual
csharp,keyword,void
